Sorcerer-Prophet                         || 25 x 25mm
Daemonsmith Sorcerer                     || 25 x 25mm
Infernal Castellan                       || 25 x 25mm
Infernal Seneschal                       || 25 x 25mm
Taur'ruk                                 || 50 x 75mm
Hobgoblin Khan                           || 25 x 25mm
Giant Wolf                               || 25 x 50mm
Infernal Ironsworn                       || 25 x 25mm
Infernal Guard                           || 25 x 25mm
K'daai Fireborn                          || 25 x 25mm
Cutthroat                                || 25 x 25mm
Sneaky Git                               || 25 x 25mm
Hobgoblin Wolf Rider                     || 25 x 50mm
Giant Wolf                               || 25 x 50mm
Bull Centaur Render                      || 50 x 75mm
Bull Centaur Ba'hal                      || 50 x 75mm
Iron Daemon                              || 60 x 100mm
Bale Taurus                              || 60 x 100mm
Great Taurus                             || 60 x 100mm
Lammasu                                  || 50 x 75mm
Deathshrieker                            || 50 x 75mm
Rocket Launcher                          || 50 x 75mm
Chaos Dwarf Crew                         || 25 x 25mm
Dreadquake Mortar                        || N/A
Magma Cannon                             || 50 x 100mm
Hobgoblin Bolt Thrower                   || 50 x 50mm
