Gors                                                                   || 32mm
Morghurite Chaos Spawn (Gibbering Congregation)                        || 50mm
Ungors                                                                 || 25mm
Chaos Gargant                                                          || 90 x 52mm
Chimera                                                                || 120 x 92mm
Cygor                                                                  || 120 x 92mm
Ghorgon                                                                || 120 x 92mm
Jabberslythe                                                           || 120 x 92mm
Beastlord                                                              || 40mm
Tzaangor Shaman                                                        || 40mm
Doombull                                                               || 50mm
Dragon Ogor Shaggoth                                                   || 90 x 52mm
Grashrak Fellhoof                                                      || 32mm
Grashrak's Despoilers                                                  || 32mm [1], 25mm [4]
Great Bray-Shaman                                                      || 32mm
Chaos Spawn                                                            || 50mm
Slaangor Fiendbloods                                                   || 40mm
Tzaangor Enlightened                                                   || 40mm
Tzaangor Enlightened on Discs of Tzeentch                              || 40mm
Tzaangor Skyfires                                                      || 40mm
Tzaangors                                                              || 32mm
Bestigors                                                              || 32mm
Bullgors                                                               || 50mm
Centigors                                                              || 60 x 35mm
Chaos Warhounds                                                        || 60 x 35mm
Cockatrice                                                             || 60mm
Dragon Ogors                                                           || 90 x 52mm
Razorgors                                                              || 75 x 42mm
Tuskgor Chariots                                                       || 105 x 70mm
Ungor Raiders                                                          || 25mm
Doomblast Dirgehorn                                                    || 40mm
Ravening Direflock                                                     || 40mm
Wildfire Taurus                                                        || 105 x 70mm
Herdstone                                                              || Use model
