Bloodwrack Medusa                                                      || 40mm
Bloodwrack Shrine                                                      || 120 x 92mm
Hag Queen                                                              || 25mm
Hag Queen on Cauldron of Blood                                         || 120 x 92mm
High Gladiatrix                                                        || 32mm
Krethusa the Croneseer                                                 || 60mm
Melusai Ironscale                                                      || 40mm
Morathi-Khaine                                                         || 40mm
The Shadow Queen                                                       || 100mm
Slaughter Queen                                                        || 25mm
Slaughter Queen on Cauldron of Blood                                   || 120 x 92mm
Blood Hags                                                             || 28.5mm
Blood Sisters                                                          || 40mm
Blood Stalkers                                                         || 40mm
Doomfire Warlocks                                                      || 60 x 35mm
Khainite Shadowstalkers                                                || 40mm [1], 28.5mm [8]
Khinerai Heartrenders                                                  || 40mm
Khinerai Lifetakers                                                    || 40mm
Sisters of Slaughter                                                   || 25mm
Witch Aelves                                                           || 25mm
